round,blockName,Setsize,cueLength,test_ind,test_timeStamp,view_ind,view_timeStamp,1=OldItem,Response,1=correct,viewLoc_index,viewLoc_x,viewLoc_y,viewLoc_row,viewLoc_col,clickLoc_x,clickLoc_y,clickLoc_row,clickLoc_column,Euclidian_distance,imageTypeQuiz,TimeBarLoc_1st,TimeBarLoc_resp,TimeError_RespMinus1stAppear,RT,LapseTimeSinceExpStart,imageID,CanvasHeight,CanvasWidth,curID,curTime,userAgent,windowWidth,windowHeight,screenWidth,screenHeight,duration_ms,d_mTurkID
FIRSTROUNDFULL,Test,50,3000,78,1.65844E+12,50,1.65844E+12,1,SaidOld,1,35,731.2933333,72.96,1,6,704.78125,70.375,1,6,26.63780749,[,100,64.07007882,-35.92992118,246430,394364,36,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,79,1.65844E+12,0,-1,0,SaidNew,1,35,731.2933333,72.96,1,6,-1,-1,-1,-1,-1,[,-1,-1,-1,249163,396590,88,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,80,1.65844E+12,0,-1,0,SaidNew,1,35,731.2933333,72.96,1,6,-1,-1,-1,-1,-1,[,-1,-1,-1,250609,398036,68,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,82,1.65844E+12,0,-1,0,SaidNew,1,11,220.9866667,583.2666667,5,2,-1,-1,-1,-1,-1,[,-1,-1,-1,253987,401414,80,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,81,1.65844E+12,28,1.65844E+12,1,SaidNew,0,11,220.9866667,583.2666667,5,2,-1,-1,-1,-1,-1,[,56,-1,-1,252393,399820,43,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,83,1.65844E+12,9,1.65844E+12,1,SaidOld,1,45,859.12,460.44,4,7,877.78125,206.375,2,7,254.749419,[,18,58.24954527,40.24954527,257195,406300,28,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,84,1.65844E+12,0,-1,0,SaidNew,1,45,859.12,460.44,4,7,-1,-1,-1,-1,-1,[,-1,-1,-1,260950,408377,16,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,85,1.65844E+12,0,-1,0,SaidNew,1,45,859.12,460.44,4,7,-1,-1,-1,-1,-1,[,-1,-1,-1,262842,410269,63,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,86,1.65844E+12,24,1.65844E+12,1,SaidOld,1,41,719.2933333,822.92,7,6,830.78125,849.375,7,7,114.5836925,[,48,49.03370049,1.033700485,265006,413396,92,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,87,1.65844E+12,0,-1,0,SaidNew,1,41,719.2933333,822.92,7,6,-1,-1,-1,-1,-1,[,-1,-1,-1,267995,415422,14,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,88,1.65844E+12,0,-1,0,SaidNew,1,41,719.2933333,822.92,7,6,-1,-1,-1,-1,-1,[,-1,-1,-1,269279,416706,33,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,89,1.65844E+12,0,-1,0,SaidNew,1,41,719.2933333,822.92,7,6,-1,-1,-1,-1,-1,[,-1,-1,-1,270569,417996,2,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,90,1.65844E+12,0,-1,0,SaidNew,1,41,719.2933333,822.92,7,6,-1,-1,-1,-1,-1,[,-1,-1,-1,272016,419443,83,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,91,1.65844E+12,0,-1,0,SaidNew,1,41,719.2933333,822.92,7,6,-1,-1,-1,-1,-1,[,-1,-1,-1,273513,420941,40,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,92,1.65844E+12,0,-1,0,SaidNew,1,41,719.2933333,822.92,7,6,-1,-1,-1,-1,-1,[,-1,-1,-1,275062,422489,48,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,94,1.65844E+12,39,1.65844E+12,1,SaidNew,0,11,220.9866667,583.2666667,5,2,-1,-1,-1,-1,-1,[,78,-1,-1,281425,428852,75,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,95,1.65844E+12,0,-1,0,SaidNew,1,11,220.9866667,583.2666667,5,2,-1,-1,-1,-1,-1,[,-1,-1,-1,282636,430063,19,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,93,1.65844E+12,12,1.65844E+12,1,SaidOld,1,12,219.9866667,691.0933333,6,2,215.78125,584.375,5,2,106.801162,[,24,17.8291734,-6.170826597,277659,426093,5,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,96,1.65844E+12,17,1.65844E+12,1,SaidOld,1,45,859.12,460.44,4,7,869.78125,352.375,3,7,108.5896242,[,34,36.90758892,2.907588925,284700,433247,32,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,97,1.65844E+12,47,1.65844E+12,1,SaidNew,0,19,342.8133333,709.0933333,6,3,-1,-1,-1,-1,-1,[,94,-1,-1,287683,435111,81,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,98,1.65844E+12,2,1.65844E+12,1,SaidOld,1,7,222.9866667,65.96,1,2,223.78125,223.375,2,2,157.4170054,[,4,12.6553658,8.655365804,289966,438339,60,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,99,1.65844E+12,0,-1,0,SaidNew,1,7,222.9866667,65.96,1,2,-1,-1,-1,-1,-1,[,-1,-1,-1,293308,440735,91,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,100,1.65844E+12,34,1.65844E+12,1,SaidOld,1,47,847.12,709.0933333,6,7,547.78125,349.375,3,5,467.975391,[,68,39.57533347,-28.42466653,296298,444696,84,987,987,,,,,,,,,
